,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,,,Special Teams,Special Teams,,Assists,Assists,Assists,Shot Data,Shot Data,Ice Time,Ice Time,
177,Dallas Eakins,27,FLA,D,17,0,1,1,2,35,1,0,0,0,0,0,0,1,3,0,,,eakinda01
178,Mike Eastwood,27,TOT,C,49,8,11,19,-9,36,1,8,0,0,0,9,1,1,55,14.5,,,eastwmi01
178,Mike Eastwood,27,TOR,C,36,5,5,10,-12,32,0.2,5,0,0,0,4,1,0,38,13.2,,,eastwmi01
178,Mike Eastwood,27,WIN,C,13,3,6,9,3,4,0.8,3,0,0,0,5,0,1,17,17.6,,,eastwmi01
179,Neil Eisenhut,27,CGY,C,3,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,2,0,,,eisenne01
180,Todd Elik,28,TOT,C,35,9,14,23,8,22,2.2,5,4,0,0,11,3,0,76,11.8,,,elikto01
180,Todd Elik,28,SJS,C,22,7,10,17,3,18,1.7,3,4,0,0,8,2,0,50,14,,,elikto01
180,Todd Elik,28,STL,C,13,2,4,6,5,4,0.5,2,0,0,0,3,1,0,26,7.7,,,elikto01
181,Dave Ellett,30,TOR,D,33,5,10,15,-6,26,2.6,2,3,0,1,4,6,0,84,6,,,elletda01
182,Pat Elynuik,27,OTT,RW,41,3,7,10,-11,51,0,3,0,0,0,4,3,0,58,5.2,,,elynupa01
183,Nelson Emerson,27,WIN,C,48,14,23,37,-12,26,2.9,9,4,1,1,11,10,2,122,11.5,,,emersne01
184,David Emma,26,NJD,RW,6,0,1,1,-2,0,-0.1,0,0,0,0,1,0,0,4,0,,,emmada01
185,Bob Errey,30,TOT,LW,43,8,13,21,13,58,1.9,8,0,0,1,10,3,0,72,11.1,,,erreybo01
185,Bob Errey,30,DET,LW,30,6,11,17,9,31,1.5,6,0,0,1,8,3,0,53,11.3,,,erreybo01
185,Bob Errey,30,SJS,LW,13,2,2,4,4,27,0.4,2,0,0,0,2,0,0,19,10.5,,,erreybo01
186,Len Esau,26,TOT,D,15,0,6,6,-10,15,0.2,0,0,0,0,4,2,0,21,0,,,esaule01
186,Len Esau,26,EDM,D,14,0,6,6,-8,15,0.3,0,0,0,0,4,2,0,17,0,,,esaule01
186,Len Esau,26,CGY,D,1,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,4,0,,,esaule01
187,Dean Evason,30,DAL,C,47,8,7,15,3,48,1.1,7,1,0,0,5,0,2,53,15.1,,,evasode01
188,Todd Ewen,28,MDA,RW,24,0,0,0,-2,93,-0.7,0,0,0,0,0,0,0,14,0,,,ewento01
189,Pat Falloon,22,SJS,RW,46,12,7,19,-4,25,1.5,12,0,0,3,6,1,0,91,13.2,,,fallopa01
190,Glen Featherstone,26,TOT,D,19,2,1,3,-7,50,0.6,2,0,0,0,1,0,0,22,9.1,,,feathgl01
190,Glen Featherstone,26,HAR,D,13,1,1,2,-7,32,0.2,1,0,0,0,1,0,0,16,6.3,,,feathgl01
190,Glen Featherstone,26,NYR,D,6,1,0,1,0,18,0.4,1,0,0,0,0,0,0,6,16.7,,,feathgl01
191,Sergei Fedorov*,25,DET,C,42,20,30,50,6,24,5.3,10,7,3,5,21,9,0,147,13.6,,,fedorse01
192,Brent Fedyk,27,PHI,RW,30,8,4,12,-2,14,1,5,3,0,2,2,2,0,41,19.5,,,fedykbr01
193,Denny Felsner,24,STL,LW,3,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,2,0,,,felsnde01
194,Craig Ferguson,24,MTL,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,,fergucr01
195,Mark Ferner,29,TOT,D,17,0,1,1,-4,6,0.2,0,0,0,0,1,0,0,16,0,,,fernema01
195,Mark Ferner,29,MDA,D,14,0,1,1,-4,6,0.1,0,0,0,0,1,0,0,15,0,,,fernema01
195,Mark Ferner,29,DET,D,3,0,0,0,0,0,0.1,0,0,0,0,0,0,0,1,0,,,fernema01
196,Ray Ferraro,30,NYI,C,47,22,21,43,1,30,4.9,20,2,0,1,16,5,0,94,23.4,,,ferrara01
197,Viacheslav Fetisov*,36,TOT,D,18,3,12,15,1,2,2.2,0,3,0,0,10,2,0,37,8.1,,,fetisvi01
197,Viacheslav Fetisov*,36,DET,D,14,3,11,14,3,2,2.1,0,3,0,0,9,2,0,36,8.3,,,fetisvi01
197,Viacheslav Fetisov*,36,NJD,D,4,0,1,1,-2,0,0.1,0,0,0,0,1,0,0,1,0,,,fetisvi01
198,Steven Finn,28,QUE,D,40,0,3,3,1,64,0.8,0,0,0,0,3,0,0,28,0,,,finnst01
199,Rusty Fitzgerald,22,PIT,LW,4,1,0,1,2,0,0.1,1,0,0,0,0,0,0,5,20,,,fitzgru01
200,Tom Fitzgerald,26,FLA,RW,48,3,13,16,-3,31,0.6,3,0,0,0,13,0,0,78,3.8,,,fitzgto01
201,Pat Flatley,31,NYI,RW,45,7,20,27,9,12,2.4,6,1,0,1,19,1,0,81,8.6,,,flatlpa01
202,Gerry Fleming,28,MTL,LW,6,0,0,0,-1,17,-0.2,0,0,0,0,0,0,0,1,0,,,flemige01
203,Theoren Fleury,26,CGY,RW,47,29,29,58,6,112,6.8,18,9,2,5,17,11,1,173,16.8,,,fleurth01
204,Bryan Fogarty,25,MTL,D,21,5,2,7,-3,34,1.5,2,3,0,0,2,0,0,41,12.2,,,fogarbr01
205,Adam Foote,23,QUE,D,35,0,7,7,17,52,2.2,0,0,0,0,6,0,1,24,0,,,footead01
206,Peter Forsberg*,21,QUE,C,47,15,35,50,17,16,5,12,3,0,3,22,12,1,86,17.4,,,forsbpe01
207,Ron Francis*,31,PIT,C,44,11,48,59,30,18,5.8,8,3,0,1,29,18,1,94,11.7,,,francro01
208,Iain Fraser,25,TOT,C,13,3,0,3,0,0,0.2,3,0,0,0,0,0,0,7,42.9,,,fraseia01
208,Iain Fraser,25,EDM,C,9,3,0,3,3,0,0.4,3,0,0,0,0,0,0,5,60,,,fraseia01
208,Iain Fraser,25,DAL,C,4,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,2,0,,,fraseia01
209,Jeff Friesen,18,SJS,C,48,15,10,25,-8,14,2.1,9,5,1,2,7,2,1,86,17.4,,,friesje01
210,Dave Gagner,30,DAL,LW,48,14,28,42,2,42,4.1,7,7,0,2,15,12,1,138,10.1,,,gagneda01
211,Gerard Gallant,31,TBL,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,gallage01
212,Garry Galley,31,TOT,D,47,3,29,32,4,30,5.1,1,2,0,0,14,15,0,97,3.1,,,gallega01
212,Garry Galley,31,PHI,D,33,2,20,22,0,20,3.2,1,1,0,0,8,12,0,66,3,,,gallega01
212,Garry Galley,31,BUF,D,14,1,9,10,4,10,1.9,0,1,0,0,6,3,0,31,3.2,,,gallega01
213,Johan Garpenlöv,26,TOT,RW,40,4,10,14,1,2,0.8,4,0,0,0,7,3,0,44,9.1,,,garpejo01
213,Johan Garpenlöv,26,FLA,RW,27,3,9,12,4,0,1,3,0,0,0,6,3,0,28,10.7,,,garpejo01
213,Johan Garpenlöv,26,SJS,RW,13,1,1,2,-3,2,-0.2,1,0,0,0,1,0,0,16,6.3,,,garpejo01
214,Mike Gartner*,35,TOR,RW,38,12,8,20,0,6,2.1,9,2,1,1,7,1,0,91,13.2,,,gartnmi01
215,Rob Gaudreau,25,OTT,RW,36,5,9,14,-16,8,0.5,5,0,0,0,7,2,0,65,7.7,,,gaudrro01
216,Daniel Gauthier,24,CHI,LW,5,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,4,0,,,gauthda01
217,Martin Gelinas,24,VAN,RW,46,13,10,23,8,36,2.4,12,1,0,4,9,0,1,75,17.3,,,gelinma01
218,Martin Gendron,20,WSH,RW,8,2,1,3,3,2,0.4,2,0,0,0,1,0,0,11,18.2,,,gendrma01
219,Greg Gilbert,33,STL,LW,46,11,14,25,22,11,2.5,11,0,0,3,14,0,0,57,19.3,,,gilbegr01
220,Brent Gilchrist,27,DAL,LW,32,9,4,13,-3,16,1.2,5,1,3,1,4,0,0,70,12.9,,,gilchbr01
221,Randy Gilhen,31,WIN,RW,44,5,6,11,-17,52,-0.3,4,0,1,1,6,0,0,47,10.6,,,gilhera01
222,Todd Gill,29,TOR,D,47,7,25,32,-8,64,4.7,3,3,1,2,16,9,0,82,8.5,,,gillto01
223,Doug Gilmour*,31,TOR,C,44,10,23,33,-5,26,2.8,7,3,0,1,11,12,0,73,13.7,,,gilmodo01
224,Brian Glynn,27,HAR,D,43,1,6,7,-2,32,2,1,0,0,0,5,1,0,35,2.9,,,glynnbr01
225,Alexander Godynyuk,25,HAR,D,14,0,0,0,1,8,0.5,0,0,0,0,0,0,0,16,0,,,godynal01
226,Sergei Gonchar,20,WSH,D,31,2,5,7,4,22,2.4,2,0,0,0,5,0,0,38,5.3,,,gonchse01
227,Viktor Gordiouk,24,BUF,RW,10,0,2,2,-3,0,-0.1,0,0,0,0,1,1,0,10,0,,,gordivi01
228,Dirk Graham,35,CHI,RW,40,4,9,13,2,42,0.6,2,1,1,0,8,1,0,68,5.9,,,grahadi01
229,Tony Granato,30,LAK,LW,33,13,11,24,9,68,2.8,11,2,0,3,8,2,1,106,12.3,,,granato01
230,Chris Gratton,19,TBL,C,46,7,20,27,-2,89,2.1,5,2,0,0,14,6,0,91,7.7,,,grattch01
231,Adam Graves,26,NYR,LW,47,17,14,31,9,51,3.7,8,9,0,3,7,6,1,185,9.2,,,gravead01
232,Travis Green,24,NYI,C,42,5,7,12,-10,25,0.2,5,0,0,0,6,1,0,59,8.5,,,greentr01
233,Mark Greig,25,CGY,RW,8,1,1,2,1,2,0.1,1,0,0,0,1,0,0,5,20,,,greigma01
234,Brent Gretzky,22,TBL,C,3,0,1,1,-2,0,0,0,0,0,0,0,1,0,1,0,,,gretzbr01
235,Wayne Gretzky*,34,LAK,C,48,11,37,48,-20,6,3.3,8,3,0,1,15,19,3,142,7.7,,,gretzwa01
236,Brent Grieve,25,CHI,LW,24,1,5,6,2,23,0.1,1,0,0,0,4,1,0,30,3.3,,,grievbr01
237,Stu Grimson,29,TOT,LW,42,0,1,1,-11,147,-1.4,0,0,0,0,1,0,0,18,0,,,grimsst01
237,Stu Grimson,29,MDA,LW,31,0,1,1,-7,110,-1,0,0,0,0,1,0,0,14,0,,,grimsst01
237,Stu Grimson,29,DET,LW,11,0,0,0,-4,37,-0.4,0,0,0,0,0,0,0,4,0,,,grimsst01
238,Michal Grosek,19,WIN,LW,24,2,2,4,-3,21,-0.2,2,0,0,1,2,0,0,27,7.4,,,grosemi01
239,John Gruden,24,BOS,D,38,0,6,6,3,22,2.4,0,0,0,0,6,0,0,30,0,,,grudejo01
240,Daniel Guerard,20,OTT,RW,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,guerada01
241,Bill Guerin,24,NJD,RW,48,12,13,25,6,72,2.4,8,4,0,3,11,2,0,96,12.5,,,gueribi01
242,Alexei Gusarov,30,QUE,D,14,1,2,3,-1,6,0.5,1,0,0,1,2,0,0,7,14.3,,,gusaral01
243,Bob Halkidis,28,TOT,D,31,1,4,5,-10,46,0.9,1,0,0,0,4,0,0,25,4,,,halkibo01
243,Bob Halkidis,28,TBL,D,27,1,3,4,-12,40,0.6,1,0,0,0,3,0,0,25,4,,,halkibo01
243,Bob Halkidis,28,DET,D,4,0,1,1,2,6,0.3,0,0,0,0,1,0,0,0,,,,halkibo01
244,Kevin Haller,24,PHI,D,36,2,8,10,16,48,3.3,2,0,0,0,8,0,0,26,7.7,,,halleke01
245,Roman Hamrlik,20,TBL,D,48,12,11,23,-18,86,3.8,4,7,1,2,8,2,1,134,9,,,hamrlro01
246,Ben Hankinson,25,TOT,RW,26,0,2,2,-5,13,-0.6,0,0,0,0,2,0,0,26,0,,,hankibe01
246,Ben Hankinson,25,TBL,RW,18,0,2,2,1,6,-0.2,0,0,0,0,2,0,0,18,0,,,hankibe01
246,Ben Hankinson,25,NJD,RW,8,0,0,0,-6,7,-0.4,0,0,0,0,0,0,0,8,0,,,hankibe01
247,Dave Hannan,33,BUF,C,42,4,12,16,3,32,1,2,0,2,0,8,1,3,36,11.1,,,hannada01
248,Tavis Hansen,19,WIN,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,hanseta01
249,Brett Harkins,24,BOS,C,1,0,1,1,0,0,0.1,0,0,0,0,1,0,0,1,0,,,harkibr01
250,David Harlock,23,TOR,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,,,,harloda01
251,Mike Hartman,27,NYR,LW,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,,,,hartmmi01
252,Todd Harvey,19,DAL,RW,40,11,9,20,-3,67,1.8,9,2,0,1,3,6,0,64,17.2,,,harveto01
253,Derian Hatcher,22,DAL,D,43,5,11,16,3,105,3.7,3,2,0,2,7,4,0,74,6.8,,,hatchde01
254,Kevin Hatcher,28,DAL,D,47,10,19,29,-4,66,5,7,3,0,2,9,10,0,138,7.2,,,hatchke01
255,Dale Hawerchuk*,31,BUF,C,23,5,11,16,-2,2,1.4,3,2,0,2,3,8,0,56,8.9,,,hawerda01
256,Greg Hawgood,26,PIT,D,21,1,4,5,2,25,0.8,0,1,0,0,3,1,0,17,5.9,,,hawgogr01
257,Bret Hedican,24,VAN,D,45,2,11,13,-3,34,2.3,2,0,0,0,6,3,2,56,3.6,,,hedicbr01
258,Steve Heinze,25,BOS,RW,36,7,9,16,0,23,1.3,6,0,1,0,9,0,0,70,10,,,heinzst01
259,Darby Hendrickson,22,TOR,C,8,0,1,1,0,4,-0.1,0,0,0,0,1,0,0,4,0,,,hendrda01
260,Sean Hill,24,OTT,D,45,1,14,15,-11,30,2.2,1,0,0,0,8,6,0,107,0.9,,,hillse01
261,Todd Hlushko,24,CGY,C,2,0,1,1,1,2,0.1,0,0,0,0,1,0,0,3,0,,,hlushto01
262,Benoit Hogue,28,TOT,LW,45,9,7,16,0,34,1.2,7,2,0,2,6,1,0,66,13.6,,,hoguebe01
262,Benoit Hogue,28,NYI,LW,33,6,4,10,0,34,0.7,5,1,0,1,3,1,0,50,12,,,hoguebe01
262,Benoit Hogue,28,TOR,LW,12,3,3,6,0,0,0.6,2,1,0,1,3,0,0,16,18.8,,,hoguebe01
263,Milos Holan,23,MDA,D,25,2,8,10,4,14,1.9,1,1,0,1,4,3,1,93,2.2,,,holanmi01
264,Bobby Holík,24,NJD,C,48,10,10,20,9,18,1.8,10,0,0,2,9,1,0,84,11.9,,,holikbo01
265,Terry Hollinger,23,STL,D,5,0,0,0,-1,2,0,0,0,0,0,0,0,0,1,0,,,hollite01
266,Brian Holzinger,22,BUF,C,4,0,3,3,2,0,0.3,0,0,0,0,3,0,0,3,0,,,holzibr01
267,Tony Horacek,27,CHI,LW,19,0,1,1,-4,25,-0.5,0,0,0,0,1,0,0,6,0,,,horacto01
268,Doug Houda,28,BUF,D,28,1,2,3,1,68,1.7,1,0,0,0,1,0,1,21,4.8,,,houdado01
269,Mike Hough,31,FLA,LW,48,6,7,13,1,38,0.8,6,0,0,2,6,1,0,58,10.3,,,houghmi01
270,Bill Houlder,27,STL,D,41,5,13,18,16,20,3.6,4,1,0,0,10,3,0,59,8.5,,,houldbi01
271,Phil Housley*,30,CGY,D,43,8,35,43,17,18,6.8,5,3,0,0,18,17,0,135,5.9,,,houslph01
272,Mark Howe*,39,DET,D,18,1,5,6,-3,10,1,1,0,0,1,2,3,0,14,7.1,,,howema02
273,Bill Huard,27,TOT,LW,33,3,3,6,0,77,0,3,0,0,0,3,0,0,21,14.3,,,huardbi01
273,Bill Huard,27,OTT,LW,26,1,1,2,-2,64,-0.4,1,0,0,0,1,0,0,15,6.7,,,huardbi01
273,Bill Huard,27,QUE,LW,7,2,2,4,2,13,0.4,2,0,0,0,2,0,0,6,33.3,,,huardbi01
274,Charlie Huddy,35,TOT,D,41,2,5,7,-7,42,1.9,1,1,0,0,4,1,0,51,3.9,,,huddych01
274,Charlie Huddy,35,BUF,D,32,2,4,6,-1,36,2.1,1,1,0,0,3,1,0,40,5,,,huddych01
274,Charlie Huddy,35,LAK,D,9,0,1,1,-6,6,-0.1,0,0,0,0,1,0,0,11,0,,,huddych01
275,Mike Hudson,27,PIT,LW,40,2,9,11,-1,34,-0.2,2,0,0,1,9,0,0,33,6.1,,,hudsomi01
276,Kerry Huffman,27,OTT,D,37,2,4,6,-17,46,0.7,0,2,0,0,3,1,0,68,2.9,,,huffmke01
277,Brent Hughes,28,BOS,LW,44,6,6,12,6,139,0.9,6,0,0,0,6,0,0,75,8,,,hughebr02
278,Brett Hull*,30,STL,RW,48,29,21,50,13,10,6.1,17,9,3,6,11,7,3,200,14.5,,,hullbr01
279,Jody Hull,25,FLA,RW,46,11,8,19,-1,8,1.8,11,0,0,4,7,1,0,63,17.5,,,hulljo01
280,Dale Hunter,34,WSH,C,45,8,15,23,-4,101,1.7,5,3,0,1,11,4,0,73,11,,,hunteda02
281,Tim Hunter,34,VAN,RW,34,3,2,5,1,120,-0.1,3,0,0,0,2,0,0,17,17.6,,,hunteti01
282,Jamie Huscroft,28,BOS,D,34,0,6,6,-3,103,1.8,0,0,0,0,6,0,0,30,0,,,huscrja01
283,Ralph Intranuovo,21,EDM,C,1,0,1,1,1,0,0.1,0,0,0,0,1,0,0,1,0,,,intrara01
284,Dane Jackson,24,VAN,RW,3,1,0,1,0,4,0.1,1,0,0,0,0,0,0,6,16.7,,,jacksda01
285,Jaromír Jágr,22,PIT,RW,48,32,38,70,23,37,8.3,21,8,3,7,24,14,0,192,16.7,,,jagrja01
286,Craig Janney,27,TOT,C,35,7,20,27,-1,10,2.1,4,3,0,1,11,9,0,40,17.5,,,jannecr01
286,Craig Janney,27,SJS,C,27,5,15,20,-4,10,1.4,3,2,0,1,8,7,0,31,16.1,,,jannecr01
286,Craig Janney,27,STL,C,8,2,5,7,3,0,0.7,1,1,0,0,3,2,0,9,22.2,,,jannecr01
287,Mark Janssens,26,HAR,C,46,2,5,7,-8,93,-0.6,2,0,0,0,5,0,0,33,6.1,,,janssma01
288,Grant Jennings,29,TOT,D,35,0,6,6,-4,43,0.8,0,0,0,0,6,0,0,25,0,,,jennigr01
288,Grant Jennings,29,PIT,D,25,0,4,4,2,36,0.6,0,0,0,0,4,0,0,16,0,,,jennigr01
288,Grant Jennings,29,TOR,D,10,0,2,2,-6,7,0.1,0,0,0,0,2,0,0,9,0,,,jennigr01
289,Calle Johansson,27,WSH,D,46,5,26,31,-6,35,4.8,1,4,0,2,5,20,1,112,4.5,,,johanca01
290,Roger Johansson,27,CHI,D,11,1,0,1,1,6,0.7,1,0,0,0,0,0,0,10,10,,,johanro01
291,Craig Johnson,22,STL,LW,15,3,3,6,4,6,0.5,3,0,0,0,3,0,0,19,15.8,,,johnscr01
292,Greg Johnson,23,DET,C,22,3,5,8,1,14,0.4,1,2,0,0,5,0,0,32,9.4,,,johnsgr02
293,Jim Johnson,32,WSH,D,47,0,13,13,6,43,3.6,0,0,0,0,11,2,0,46,0,,,johnsji02
294,Matt Johnson,19,LAK,LW,14,1,0,1,0,102,-0.2,1,0,0,0,0,0,0,4,25,,,johnsma03
295,Keith Jones,26,WSH,RW,40,14,6,20,-2,65,2.1,13,1,0,4,4,2,0,85,16.5,,,joneske01
296,Kenny Jönsson,20,TOR,D,39,2,7,9,-8,16,1.8,2,0,0,1,2,5,0,50,4,,,jonsske01
297,Chris Joseph,25,PIT,D,33,5,10,15,3,46,2.2,2,3,0,0,8,2,0,73,6.8,,,josepch01
298,Patrik Juhlin,24,PHI,RW,42,4,3,7,-13,6,-0.5,4,0,0,1,2,1,0,44,9.1,,,juhlipa01
299,Joe Juneau,27,WSH,C,44,5,38,43,-1,8,3.3,2,3,0,0,15,22,1,70,7.1,,,juneajo01
300,Valeri Kamensky,28,QUE,LW,40,10,20,30,3,22,2.5,4,5,1,5,13,7,0,70,14.3,,,kamenva01
301,Kevin Kaminski,25,WSH,C,27,1,1,2,-6,102,-0.5,1,0,0,1,1,0,0,12,8.3,,,kaminke01
302,Yan Kaminsky,23,NYI,LW,2,1,1,2,2,0,0.3,1,0,0,0,1,0,0,4,25,,,kaminya01
303,Vitali Karamnov,26,STL,RW,26,3,7,10,7,14,0.6,3,0,0,0,7,0,0,22,13.6,,,karamvi01
304,Paul Kariya*,20,MDA,RW,47,18,21,39,-17,4,3.4,10,7,1,3,13,8,0,134,13.4,,,kariypa01
305,Dave Karpa,23,TOT,D,28,1,5,6,-1,91,1.1,1,0,0,0,5,0,0,33,3,,,karpada01
305,Dave Karpa,23,MDA,D,26,1,5,6,0,91,1.2,1,0,0,0,5,0,0,32,3.1,,,karpada01
305,Dave Karpa,23,QUE,D,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,,,karpada01
306,Valeri Karpov,23,MDA,RW,30,4,7,11,-4,6,0.4,4,0,0,0,7,0,0,48,8.3,,,karpova01
307,Alexander Karpovtsev,24,NYR,D,47,4,8,12,-4,30,2.9,3,1,0,1,3,4,1,82,4.9,,,karpoal01
308,Alexei Kasatonov,35,BOS,D,44,2,14,16,-2,33,3.4,1,0,1,0,7,7,0,50,4,,,kasatal01
309,Darius Kasparaitis,22,NYI,D,13,0,1,1,-11,22,-0.3,0,0,0,0,1,0,0,8,0,,,kaspada01
310,Mike Keane,27,MTL,C,48,10,10,20,5,15,1.7,9,1,0,0,9,1,0,75,13.3,,,keanemi01
311,Dan Keczmer,26,CGY,D,28,2,3,5,7,10,1.7,2,0,0,0,2,1,0,33,6.1,,,keczmda01
312,Dean Kennedy,32,EDM,D,40,2,8,10,2,25,2.1,2,0,0,1,8,0,0,45,4.4,,,kennede01
313,Mike Kennedy,22,DAL,RW,44,6,12,18,4,33,1.3,4,2,0,0,10,2,0,76,7.9,,,kennemi01
314,Sheldon Kennedy,25,CGY,RW,30,7,8,15,5,45,1.3,6,1,0,0,8,0,0,44,15.9,,,kennesh01
315,Yuri Khmylev,30,BUF,LW,48,8,17,25,8,14,2.3,5,2,1,1,16,1,0,71,11.3,,,khmylyu01
316,Dmitri Khristich,25,WSH,LW,48,12,14,26,0,41,2.4,4,8,0,2,10,4,0,92,13,,,khrisdm01
317,Darin Kimble,26,CHI,RW,14,0,0,0,-5,30,-0.5,0,0,0,0,0,0,0,2,0,,,kimblda01
318,Derek King,27,NYI,LW,43,10,16,26,-5,41,2.1,3,7,0,0,12,4,0,118,8.5,,,kingde01
319,Kris King,28,WIN,LW,48,4,2,6,0,85,-0.4,4,0,0,0,2,0,0,58,6.9,,,kingkr01
320,Kelly Kisio,35,CGY,C,12,7,4,11,2,6,1.4,1,5,1,0,4,0,0,26,26.9,,,kisioke01
321,Trent Klatt,24,DAL,RW,47,12,10,22,-2,26,2,7,5,0,3,7,3,0,91,13.2,,,klatttr01
322,Ken Klee,23,WSH,D,23,3,1,4,2,41,1.8,3,0,0,0,1,0,0,18,16.7,,,kleeke01
323,Jon Klemm,25,QUE,D,4,1,0,1,3,2,0.4,1,0,0,0,0,0,0,5,20,,,klemmjo01
324,Petr Klima,30,TBL,LW,47,13,13,26,-13,26,2.2,9,4,0,3,9,4,0,75,17.3,,,klimape01
325,Fred Knipscheer,25,BOS,LW,16,3,1,4,1,2,0.3,3,0,0,1,1,0,0,20,15,,,knipsfr01
326,Joe Kocur,30,NYR,RW,48,1,2,3,-4,71,-0.9,1,0,0,0,2,0,0,25,4,,,kocurjo01
327,Steve Konowalchuk,22,WSH,LW,46,11,14,25,7,44,2.5,5,3,3,3,12,0,2,88,12.5,,,konowst01
328,Steve Konroyd,33,CGY,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,konrost01
329,Vladimir Konstantinov,27,DET,D,47,3,11,14,10,101,3.6,3,0,0,0,11,0,0,57,5.3,,,konstvl01
330,Igor Korolev,24,WIN,LW,45,8,22,30,1,10,2.3,7,1,0,1,18,4,0,85,9.4,,,korolig01
331,Andrei Kovalenko,24,QUE,RW,45,14,10,24,-4,31,1.9,13,1,0,3,7,3,0,63,22.2,,,kovalan01
332,Alex Kovalev,21,NYR,C,48,13,15,28,-6,30,2.5,11,1,1,1,10,5,0,103,12.6,,,kovalal01
333,Viktor Kozlov,19,SJS,RW,16,2,0,2,-5,2,-0.2,2,0,0,0,0,0,0,23,8.7,,,kozlovi01
334,Vyacheslav Kozlov,22,DET,LW,46,13,20,33,12,45,3.3,8,5,0,3,13,7,0,97,13.4,,,kozlovy01
335,Igor Kravchuk,28,EDM,D,36,7,11,18,-15,29,2,3,3,1,0,6,5,0,93,7.5,,,kravcig01
336,Sergei Krivokrasov,20,CHI,LW,41,12,7,19,9,33,2.1,6,6,0,2,7,0,0,72,16.7,,,krivose01
337,Robert Kron,27,HAR,RW,37,10,8,18,-3,10,1.5,6,3,1,1,4,3,1,88,11.4,,,kronro01
338,Vlastimil Kroupa,19,SJS,D,14,0,2,2,-7,16,0,0,0,0,0,1,0,1,4,0,,,kroupvl01
339,Uwe Krupp,29,QUE,D,44,6,17,23,14,20,4.1,3,3,0,1,8,9,0,102,5.9,,,kruppuw01
340,Paul Kruse,24,CGY,LW,45,11,5,16,13,141,1.6,11,0,0,2,5,0,0,52,21.2,,,krusepa01
341,Mike Krushelnyski,34,DET,LW,20,2,3,5,3,6,0.2,2,0,0,0,3,0,0,20,10,,,krushmi01
342,Todd Krygier,29,MDA,LW,35,11,11,22,1,10,2.1,10,1,0,1,9,2,0,90,12.2,,,krygito01
343,Frantisek Kucera,26,HAR,D,48,3,17,20,3,30,3.9,3,0,0,1,14,3,0,73,4.1,,,kucerfr01
344,Bob Kudelski,30,FLA,RW,26,6,3,9,2,2,0.9,3,3,0,1,2,1,0,29,20.7,,,kudelbo01
345,Jari Kurri*,34,LAK,RW,38,10,19,29,-17,24,1.9,8,2,0,0,6,13,0,84,11.9,,,kurrija01
346,Tom Kurvers,32,MDA,D,22,4,3,7,-13,6,0.6,3,1,0,1,1,2,0,44,9.1,,,kurveto01
347,Nick Kypreos,28,NYR,LW,40,1,3,4,0,93,-0.5,1,0,0,0,3,0,0,16,6.3,,,kypreni01
348,Jim Kyte,30,SJS,D,18,2,5,7,-7,33,0.8,2,0,0,1,3,2,0,14,14.3,,,kyteji01
349,Scott Lachance,22,NYI,D,26,6,7,13,2,26,2.6,3,3,0,0,4,3,0,56,10.7,,,lachasc01
350,Daniel Lacroix,25,TOT,C,24,1,0,1,-2,38,-0.4,1,0,0,0,0,0,0,14,7.1,,,lacroda01
350,Daniel Lacroix,25,BOS,C,23,1,0,1,-2,38,-0.4,1,0,0,0,0,0,0,14,7.1,,,lacroda01
350,Daniel Lacroix,25,NYR,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,lacroda01
351,Eric Lacroix,23,LAK,LW,45,9,7,16,2,54,1.1,6,2,1,1,6,1,0,64,14.1,,,lacroer01
352,Randy Ladouceur,34,MDA,D,44,2,4,6,2,36,1.8,2,0,0,0,2,1,1,42,4.8,,,ladoura01
353,Nathan LaFayette,21,TOT,C,39,4,4,8,3,2,0.2,3,0,1,0,4,0,0,35,11.4,,,lafayna01
353,Nathan LaFayette,21,VAN,C,27,4,4,8,2,2,0.5,3,0,1,0,4,0,0,30,13.3,,,lafayna01
353,Nathan LaFayette,21,NYR,C,12,0,0,0,1,0,-0.2,0,0,0,0,0,0,0,5,0,,,lafayna01
354,Pat LaFontaine*,29,BUF,C,22,12,15,27,2,4,3.2,5,6,1,3,5,10,0,54,22.2,,,lafonpa01
355,Mike Lalor,31,DAL,D,12,0,0,0,0,9,0.4,0,0,0,0,0,0,0,6,0,,,lalormi01
356,Mark Lamb,30,TOT,C,47,1,2,3,-12,20,-1.2,1,0,0,0,2,0,0,30,3.3,,,lambma01
