Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,Id
132,Greg Classen,25,NSH,C,8,0,0,0,-3,4,-0.2,0,0,0,0,0,0,0,2,0,80,10:02,classgr01
133,Dan Cleary,24,EDM,RW,57,4,13,17,5,31,1.2,4,0,0,1,13,0,0,89,4.5,682,11:58,clearda01
134,Ben Clymer,24,TBL,RW,65,6,12,18,-2,57,1,5,1,0,1,10,2,0,103,5.8,887,13:39,clymebe01
135,Carlo Colaiacovo,20,TOR,D,2,0,1,1,0,0,0.1,0,0,0,0,1,0,0,1,0,27,13:43,colaica01
136,Erik Cole,24,CAR,RW,53,14,13,27,1,72,3.2,6,6,2,3,9,3,1,125,11.2,908,17:08,coleer01
137,Mike Commodore,23,CGY,D,6,0,1,1,2,19,0.4,0,0,0,0,1,0,0,5,0,69,11:35,commomi01
138,Mike Comrie,22,EDM,C,69,20,31,51,-18,90,4.7,12,8,0,6,22,9,0,170,11.8,1232,17:51,comrimi01
139,Tim Connolly,21,BUF,C,80,12,13,25,-28,32,1,6,6,0,2,5,8,0,159,7.5,1279,16:00,connoti01
140,Craig Conroy,31,CGY,C,79,22,37,59,-4,36,6.2,17,5,0,2,23,13,1,143,15.4,1563,19:47,conrocr01
141,Matt Cooke,24,VAN,LW,82,15,27,42,21,82,4.9,10,1,4,0,25,1,1,118,12.7,1098,13:24,cookema01
142,Daniel Corso,24,STL,C,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,8,7:44,corsoda01
143,Shayne Corson,36,TOR,LW,46,7,8,15,-5,49,0.9,7,0,0,0,7,1,0,69,10.1,692,15:02,corsosh01
144,Joe Corvo,25,LAK,D,50,5,7,12,2,14,3.2,3,2,0,0,4,3,0,84,6,931,18:37,corvojo01
145,Sylvain Cote,37,WSH,D,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,,4,4:12,cotesy01
146,Jeff Cowan,26,ATL,LW,66,3,5,8,-15,115,-0.4,3,0,0,0,5,0,0,52,5.8,554,8:24,cowanje01
147,Cory Cross,32,TOT,D,37,2,7,9,16,24,3,1,1,0,1,4,2,1,29,6.9,644,17:24,crossco01
147,Cory Cross,32,NYR,D,26,0,4,4,13,16,1.9,0,0,0,0,3,0,1,18,0,447,17:12,crossco01
147,Cory Cross,32,EDM,D,11,2,3,5,3,8,1.1,1,1,0,1,1,2,0,11,18.2,196,17:51,crossco01
148,Matt Cullen,26,TOT,C,80,13,20,33,-8,34,2.9,9,3,1,2,12,7,1,131,9.9,1157,14:28,cullema01
148,Matt Cullen,26,MDA,C,50,7,14,21,-4,12,1.8,6,1,0,1,8,6,0,77,9.1,715,14:18,cullema01
148,Matt Cullen,26,FLA,C,30,6,6,12,-4,22,1.1,3,2,1,1,4,1,1,54,11.1,442,14:43,cullema01
149,Jassen Cullimore,30,TBL,D,28,1,3,4,3,31,1.4,1,0,0,0,3,0,0,23,4.3,516,18:25,cullija01
150,Mariusz Czerkawski,30,MTL,LW,43,5,9,14,-7,16,0.8,4,1,0,0,6,3,0,77,6.5,566,13:10,czerkma01
151,Andreas Dackell,30,MTL,RW,73,7,18,25,-5,24,1.3,7,0,0,1,17,0,1,74,9.5,1087,14:53,dackean01
152,Pierre Dagenais,24,FLA,RW,9,0,0,0,-1,4,-0.1,0,0,0,0,0,0,0,5,0,54,6:01,dagenpi01
153,Ulf Dahlén,36,DAL,LW,63,17,20,37,11,14,4.8,8,9,0,1,13,7,0,100,17,871,13:49,dahleul01
154,Toni Dahlman,23,OTT,RW,12,1,0,1,-1,0,0,1,0,0,1,0,0,0,5,20,74,6:10,dahlmto01
155,Alexandre Daigle,27,PIT,RW,33,4,3,7,-10,8,0.2,3,1,0,0,2,1,0,48,8.3,361,10:57,daiglal02
156,Vincent Damphousse,35,SJS,C,82,23,38,61,-13,66,5.8,8,15,0,6,18,19,1,176,13.1,1571,19:09,damphvi01
157,Mathieu Dandenault,26,DET,D,74,4,15,19,25,64,5.3,3,1,0,0,15,0,0,74,5.4,1415,19:08,dandema01
158,Ken Daneyko,38,NJD,D,69,2,7,9,6,33,3.2,2,0,0,0,7,0,0,38,5.3,1077,15:37,daneyke01
159,Jeff Daniels,34,CAR,C,59,0,4,4,-9,8,-0.6,0,0,0,0,4,0,0,41,0,497,8:25,danieje01
160,Mike Danton,22,NJD,C,17,2,0,2,0,35,0.2,2,0,0,0,0,0,0,18,11.1,153,8:59,dantomi01
161,Craig Darby,30,NJD,C,3,0,1,1,-1,0,0,0,0,0,0,1,0,0,1,0,32,10:36,darbycr01
162,Mathieu Darche,26,CBJ,LW,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,7,6:57,darchma01
163,Pavel Datsyuk,24,DET,C,64,12,39,51,20,16,5.7,11,1,0,1,26,13,0,82,14.6,989,15:28,datsypa01
