Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,Id
761,Nate Thompson,28,TBL,C,45,7,8,15,-2,17,1,7,0,0,0,8,0,0,58,12.1,645,14:20,31,85,310,295,51.2,thompna01
762,Chris Thorburn,29,WPG,C,42,2,2,4,-5,70,0,2,0,0,0,2,0,0,13,15.4,266,6:19,19,65,20,26,43.5,thorbch01
763,Joe Thornton,33,SJS,C,48,7,33,40,6,26,4.4,5,2,0,1,14,19,0,85,8.2,882,18:23,21,23,410,291,58.5,thornjo01
764,Shawn Thornton,35,BOS,RW,45,3,4,7,1,60,0.5,3,0,0,0,4,0,0,55,5.5,365,8:06,13,77,7,10,41.2,thornsh01
765,Scott Timmins,23,FLA,C,5,0,0,0,-2,4,-0.2,0,0,0,0,0,0,0,6,0,53,10:35,5,6,15,16,48.4,timmisc01
766,Kimmo Timonen,37,PHI,D,45,5,24,29,3,36,5.2,2,3,0,1,10,14,0,78,6.4,979,21:46,79,31,0,0,,timonki01
767,Jarred Tinordi,20,MTL,D,8,0,2,2,5,2,0.7,0,0,0,0,2,0,0,5,0,94,11:43,6,14,0,0,,tinorja01
768,Jiri Tlusty,24,CAR,C,48,23,15,38,15,18,5.9,19,4,0,3,11,4,0,117,19.7,876,18:15,41,53,3,15,16.7,tlustji01
769,Jonathan Toews,24,CHI,C,47,23,25,48,28,27,7.6,19,2,2,5,20,4,1,143,16.1,909,19:21,16,24,559,374,59.9,toewsjo01
770,Tyler Toffoli,20,LAK,C,10,2,3,5,3,2,0.7,1,1,0,0,2,1,0,20,10,120,11:59,1,4,0,0,,toffoty01
771,Jordin Tootoo,29,DET,RW,42,3,5,8,0,78,0.6,3,0,0,1,4,1,0,45,6.7,381,9:05,7,68,0,0,,tootojo01
772,Raffi Torres,31,TOT,LW,39,7,11,18,0,17,1.9,6,1,0,0,11,0,0,60,11.7,518,13:16,15,87,6,7,46.2,torrera01
772,Raffi Torres,31,PHX,LW,28,5,7,12,-1,13,1.2,5,0,0,0,7,0,0,40,12.5,364,13:00,13,49,4,2,66.7,torrera01
772,Raffi Torres,31,SJS,LW,11,2,4,6,1,4,0.7,1,1,0,0,4,0,0,20,10,154,13:57,2,38,2,5,28.6,torrera01
773,Kyle Turris,23,OTT,C,48,12,17,29,6,24,3.4,9,3,0,2,11,6,0,118,10.2,943,19:38,20,30,451,469,49,turriky01
774,Dana Tyrell,23,TBL,C,21,1,3,4,-3,4,0,1,0,0,0,3,0,0,19,5.3,217,10:21,2,24,5,10,33.3,tyrelda01
775,Fedor Tyutin,29,CBJ,D,48,4,18,22,9,28,5,4,0,0,1,12,5,1,56,7.1,1157,24:06:00,58,58,1,0,100,tyutife01
776,David Ullstrom,23,NYI,LW,20,2,3,5,-2,6,0.4,2,0,0,1,3,0,0,28,7.1,190,9:30,1,23,10,8,55.6,ullstda01
