,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,,,Special Teams,Special Teams,,Assists,Assists,Assists,Shot Data,Shot Data,Ice Time,Ice Time,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,Id
91,Pavel Bure*,27,FLA,RW,11,13,3,16,3,4,2.7,7,5,1,0,2,0,1,44,29.5,239,21:41,burepa01
92,Valeri Bure,24,CGY,RW,80,26,27,53,0,22,6,19,7,0,4,14,13,0,260,10,1295,16:11,bureva01
93,Marc Bureau,32,PHI,C,71,4,6,10,-2,10,0.1,4,0,0,0,6,0,0,52,7.7,783,11:02,bureama01
94,Shawn Burr,32,SJS,LW,18,0,1,1,-3,29,-0.2,0,0,0,0,0,1,0,22,0,157,8:42,burrsh01
95,Adam Burt,30,TOT,D,68,0,4,4,4,60,1.8,0,0,0,0,4,0,0,61,0,1247,18:21,burtad01
95,Adam Burt,30,CAR,D,51,0,3,3,3,46,1.3,0,0,0,0,3,0,0,37,0,951,18:39,burtad01
95,Adam Burt,30,PHI,D,17,0,1,1,1,14,0.5,0,0,0,0,1,0,0,24,0,296,17:25,burtad01
96,Sven Butenschön,22,PIT,D,17,0,0,0,-7,6,-0.4,0,0,0,0,0,0,0,8,0,223,13:08,butensv01
97,Viacheslav Butsayev,28,TOT,C,3,0,1,1,-1,4,0,0,0,0,0,1,0,0,5,0,39,12:52,butsavi01
97,Viacheslav Butsayev,28,OTT,C,2,0,1,1,0,2,0.1,0,0,0,0,1,0,0,5,0,22,11:08,butsavi01
97,Viacheslav Butsayev,28,FLA,C,1,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,0,,16,16:21,butsavi01
98,Petr Buzek,21,DAL,D,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,28,13:50,buzekpe01
99,Dan Bylsma,28,LAK,RW,8,0,0,0,-1,2,-0.2,0,0,0,0,0,0,0,3,0,79,9:51,bylsmda01
