,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,,,Special Teams,Special Teams,,Assists,Assists,Assists,Shot Data,Shot Data,Ice Time,Ice Time,,,,,,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,Id
759,Devante Smith-Pelly,24,NJD,RW,53,4,5,9,-19,12,-0.3,4,0,0,0,3,2,0,76,5.3,716,13:30,32,94,29,42,40.8,smithde06
760,Vladimir Sobotka,29,STL,LW,1,1,0,1,0,0,0.2,1,0,0,0,0,0,0,2,50,17,16:41,0,0,6,6,50,sobotvl01
761,Carl Soderberg,31,COL,C,80,6,8,14,-26,22,-0.4,5,1,0,0,7,1,0,128,4.7,1076,13:27,42,34,365,337,52,soderca01
762,Marcus Sorensen,24,SJS,RW,19,1,3,4,-1,4,0.2,1,0,0,1,3,0,0,27,3.7,205,10:49,6,15,3,1,75,sorenma01
763,Nick Sorensen,22,ANA,RW,5,0,1,1,-1,2,0,0,0,0,0,1,0,0,7,0,54,10:53,3,2,1,0,100,sorenni01
764,Nikita Soshnikov,23,TOR,RW,56,5,4,9,1,16,0.5,5,0,0,0,3,1,0,70,7.1,608,10:51,28,101,2,15,11.8,soshnni01
765,Blake Speers,20,NJD,C,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,28,9:29,1,1,0,2,0,speerbl01
766,Jason Spezza,33,DAL,C,68,15,35,50,-18,29,4.5,12,2,1,4,18,17,0,149,10.1,1100,16:10,31,13,354,324,52.2,spezzja01
767,Ryan Spooner,25,BOS,C,78,11,28,39,-8,14,3.7,8,3,0,3,12,15,1,145,7.6,1099,14:06,17,24,79,124,38.9,spoonry01
768,Ryan Sproul,24,DET,D,27,1,6,7,-8,6,0.7,0,1,0,0,4,2,0,46,2.2,409,15:09,14,12,0,0,,sproury01
769,Jared Spurgeon,27,MIN,D,76,10,28,38,33,20,8.9,9,1,0,2,23,4,1,144,6.9,1827,24:02:00,140,49,0,0,,spurgja01
770,Eric Staal,32,MIN,C,82,28,37,65,17,34,8,23,4,1,8,24,12,1,211,13.3,1526,18:36,39,42,577,597,49.1,staaler01
771,Jordan Staal,28,CAR,C,75,16,29,45,-1,38,4.6,11,4,1,3,25,4,0,164,9.8,1400,18:40,29,139,688,477,59.1,staaljo01
772,Marc Staal,30,NYR,D,72,3,7,10,9,34,2.8,3,0,0,0,6,0,1,70,4.3,1381,19:11,97,89,0,1,0,staalma01
773,Drew Stafford,31,TOT,RW,58,8,13,21,6,24,2.1,5,3,0,3,12,1,0,109,7.3,789,13:36,3,62,7,15,31.8,staffdr01
773,Drew Stafford,31,WPG,RW,40,4,9,13,-2,12,0.8,2,2,0,1,8,1,0,68,5.9,532,13:18,1,37,3,9,25,staffdr01
773,Drew Stafford,31,BOS,RW,18,4,4,8,8,12,1.3,3,1,0,2,4,0,0,41,9.8,257,14:16,2,25,4,6,40,staffdr01
774,Matt Stajan,33,CGY,C,81,6,17,23,3,40,1.6,6,0,0,3,15,0,2,59,10.2,1027,12:41,39,60,385,383,50.1,stajama01
775,Viktor Stalberg,31,TOT,LW,75,11,5,16,-9,41,1.2,8,1,2,2,4,1,0,101,10.9,915,12:12,28,141,0,3,0,stalbvi01
775,Viktor Stalberg,31,CAR,LW,57,9,3,12,-6,33,1.1,7,0,2,2,3,0,0,71,12.7,667,11:42,16,120,0,3,0,stalbvi01
775,Viktor Stalberg,31,OTT,LW,18,2,2,4,-3,8,0.1,1,1,0,0,1,1,0,30,6.7,248,13:48,12,21,0,0,,stalbvi01
776,Steven Stamkos,26,TBL,C,17,9,11,20,3,14,2.8,6,3,0,1,7,4,0,58,15.5,304,17:52,3,21,106,92,53.5,stamkst01
777,Paul Stastny,31,STL,C,66,18,22,40,4,36,4.5,13,5,0,5,14,8,0,112,16.1,1263,19:08,35,51,786,624,55.7,stastpa01
778,Troy Stecher,22,VAN,D,71,3,21,24,-16,25,3.7,2,1,0,0,14,7,0,125,2.4,1419,19:59,66,51,0,0,,stechtr01
779,Alex Steen,32,STL,LW,76,16,35,51,-2,53,5,13,3,0,2,22,13,0,117,13.7,1467,19:18,69,33,101,146,40.9,steenal01
780,Lee Stempniak,33,CAR,RW,82,16,24,40,2,32,4.3,14,2,0,2,20,4,0,131,12.2,1299,15:51,16,113,3,5,37.5,stemple01
781,Derek Stepan,26,NYR,C,81,17,38,55,19,16,5.9,12,4,1,2,24,14,0,209,8.1,1507,18:37,45,26,716,806,47,stepade01
782,Chandler Stephenson,22,WSH,C,4,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,3,0,36,8:53,0,0,12,13,48,stephch02
783,Chris Stewart,29,MIN,RW,79,13,8,21,3,94,2.3,13,0,0,0,6,2,0,82,15.9,821,10:23,19,85,2,9,18.2,stewach02
784,Karl Stollery,29,NJD,D,11,0,3,3,-5,13,0.2,0,0,0,0,0,3,0,11,0,186,16:55,16,26,0,0,,stollka01
785,Mark Stone,24,OTT,RW,71,22,32,54,12,25,6.8,16,6,0,5,24,8,0,134,16.4,1318,18:34,53,43,10,15,40,stonema01
786,Michael Stone,26,TOT,D,64,3,12,15,0,32,3.3,2,1,0,0,8,4,0,81,3.7,1268,19:49,143,125,1,0,100,stonemi01
786,Michael Stone,26,ARI,D,45,1,8,9,-5,12,1.6,0,1,0,0,4,4,0,57,1.8,910,20:13,102,98,1,0,100,stonemi01
786,Michael Stone,26,CGY,D,19,2,4,6,5,20,1.7,2,0,0,0,4,0,0,24,8.3,358,18:51,41,27,0,0,,stonemi01
787,Clayton Stoner,31,ANA,D,14,1,2,3,0,28,0.7,1,0,0,0,2,0,0,16,6.3,246,17:33,17,35,0,0,,stonecl01
788,Brian Strait,29,WPG,D,5,0,2,2,-1,0,0.2,0,0,0,0,2,0,0,3,0,80,15:56,8,5,0,0,,straibr01
789,Anton Stralman,30,TBL,D,73,5,17,22,1,20,4.8,4,1,0,0,11,6,0,130,3.8,1672,22:54,96,106,0,0,,stralan01
790,Ben Street,29,DET,C,6,0,1,1,1,0,0.1,0,0,0,0,1,0,0,8,0,50,8:15,0,3,0,0,,streebe01
791,Mark Streit,39,TOT,D,68,6,21,27,-12,28,3.9,5,1,0,2,9,12,0,114,5.3,1275,18:45,92,38,0,0,,streima01
791,Mark Streit,39,PHI,D,49,5,16,21,-10,22,3.2,4,1,0,1,9,7,0,88,5.7,950,19:23,58,25,0,0,,streima01
791,Mark Streit,39,PIT,D,19,1,5,6,-2,6,0.6,1,0,0,1,0,5,0,26,3.8,325,17:06,34,13,0,0,,streima01
792,Dylan Strome,19,ARI,C,7,0,1,1,-5,0,-0.3,0,0,0,0,1,0,0,6,0,96,13:41,2,3,31,46,40.3,stromdy01
793,Ryan Strome,23,NYI,RW,69,13,17,30,-8,40,2.6,11,2,0,2,11,6,0,114,11.4,1008,14:36,21,59,147,197,42.7,stromry01
794,Mark Stuart,32,WPG,D,42,2,2,4,4,27,1.1,2,0,0,1,2,0,0,24,8.3,523,12:27,79,68,0,0,,stuarma01
795,P.K. Subban,27,NSH,D,66,10,30,40,-8,44,6.1,7,3,0,2,16,13,1,142,7,1611,24:24:00,104,78,0,0,,subbapk01
796,Oskar Sundqvist,22,PIT,C,10,0,0,0,-4,2,-0.4,0,0,0,0,0,0,0,9,0,92,9:10,2,13,16,28,36.4,sundqos01
797,Andrej Sustr,26,TBL,D,80,3,11,14,-10,43,2.5,3,0,0,1,11,0,0,93,3.2,1407,17:35,102,45,0,1,0,sustran01
798,Ryan Suter,32,MIN,D,82,9,31,40,34,36,9.3,4,4,1,1,22,8,1,164,5.5,2208,26:55:00,105,72,0,0,,suterry01
799,Brandon Sutter,27,VAN,C,81,17,17,34,-20,12,2.7,13,4,0,1,13,4,0,160,10.6,1523,18:48,53,78,788,664,54.3,suttebr03
800,Evgeny Svechnikov,20,DET,RW,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,26,13:09,1,2,0,0,,svechev01
801,Brandon Tanev,25,WPG,LW,51,2,2,4,-6,26,-0.6,2,0,0,1,2,0,0,54,3.7,545,10:41,31,128,1,0,100,tanevbr01
802,Chris Tanev,27,VAN,D,53,2,8,10,3,14,3.1,2,0,0,1,8,0,0,39,5.1,1078,20:21,91,19,0,0,,tanevch01
