Id,Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%
dotchja01,181,Jake Dotchin,23.0,ANA,D,34.333333333333336,1.0,6.666666666666667,7.666666666666667,7.666666666666667,37.333333333333336,1.9000000000000001,1.0,0.0,0.0,0.0,6.0,0.0,0.6666666666666666,35.0,2.1
dowdni01,181,Nic Dowd,27.0,WSH,C,50.2,4.8,7.8,12.6,-0.6,20.6,0.8600000000000001,3.8,0.4,0.6,1.4,6.2,1.4,0.2,46.2,8.82
downist01,182,Steve Downie,28.0,ARI,RW,26.0,3.0,3.0,6.0,1.0,53.0,0.7,3.0,0.0,0.0,0.0,3.0,0.0,0.0,22.0,13.6
draisle01,183,Leon Draisaitl,22.0,EDM,C,77.0,33.2,49.4,82.6,-1.4,28.0,9.540000000000001,21.4,10.6,1.2,4.6,35.8,13.4,0.2,189.6,17.080000000000002
drouijo01,184,Jonathan Drouin,22.0,MTL,LW,55.8,12.6,22.8,35.4,-10.8,18.0,3.12,9.2,3.4,0.0,3.0,12.2,10.6,0.0,122.6,11.72
dowliju01,184,Justin Dowling,27.666666666666668,DAL,C,16.333333333333332,1.0,2.0,3.0,-2.3333333333333335,3.3333333333333335,0.06666666666666667,1.0,0.0,0.0,0.3333333333333333,1.6666666666666667,0.3333333333333333,0.0,16.333333333333332,3.4333333333333336
dubinbr01,185,Brandon Dubinsky,30.5,CBJ,C,69.5,10.25,19.5,29.75,-4.5,57.75,2.3,8.25,1.5,0.5,2.0,16.75,2.25,0.5,106.25,9.350000000000001
duchema01,186,Matt Duchene,27.0,NSH,C,74.8,23.8,30.4,54.2,-14.2,17.2,5.4,17.4,6.2,0.2,2.8,24.2,6.2,0.0,171.6,13.62
debrial01,186,Alex DeBrincat,21.0,CHI,RW,78.0,29.0,28.666666666666668,57.666666666666664,-1.3333333333333333,12.0,6.3999999999999995,19.333333333333332,9.666666666666666,0.0,2.6666666666666665,21.0,7.666666666666667,0.0,202.66666666666666,14.266666666666666
debruja01,187,Jake DeBrusk,22.0,BOS,LW,67.66666666666667,20.666666666666668,19.333333333333332,40.0,4.666666666666667,17.0,4.633333333333334,15.0,5.666666666666667,0.0,4.666666666666667,15.0,4.333333333333333,0.0,153.33333333333334,13.433333333333332
duclaan01,187,Anthony Duclair,22.0,OTT,LW,67.0,15.6,15.4,31.0,-1.4,22.2,3.3600000000000003,10.6,4.6,0.4,2.0,13.4,2.0,0.0,118.8,12.76
dumbama01,188,Mathew Dumba,23.0,MIN,D,68.0,10.6,20.6,31.2,3.8,40.0,5.92,6.4,4.2,0.0,2.0,13.0,7.0,0.6,143.8,7.9
dumoubr01,189,Brian Dumoulin,26.0,PIT,D,66.6,2.0,14.0,16.0,10.8,17.6,3.4200000000000004,1.8,0.0,0.2,0.2,12.2,1.0,0.8,83.0,2.42
dupuipa01,190,Pascal Dupuis,36.0,PIT,RW,18.0,2.0,2.0,4.0,-1.0,12.0,0.1,2.0,0.0,0.0,0.0,2.0,0.0,0.0,28.0,7.1
dzingry01,191,Ryan Dzingel,25.0,CAR,C,66.4,14.8,18.6,33.4,-2.4,27.0,3.22,11.8,2.8,0.2,1.8,15.2,3.4,0.0,107.8,13.179999999999998
dumonga01,191,Gabriel Dumont,27.333333333333332,MIN,C,24.0,1.0,1.0,2.0,0.3333333333333333,11.666666666666666,-0.03333333333333333,1.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,2.8333333333333335
dermotr01,192,Travis Dermott,22.0,TOR,D,52.333333333333336,3.0,10.666666666666666,13.666666666666666,8.333333333333334,22.333333333333332,2.6999999999999997,3.0,0.0,0.0,0.3333333333333333,10.666666666666666,0.0,0.0,72.33333333333333,4.066666666666666
dvorach01,193,Christian Dvorak,21.5,ARI,C,61.5,12.5,16.25,28.75,-2.0,14.5,2.8,9.75,2.75,0.0,1.5,13.25,3.0,0.0,99.5,12.075
