Player,Pos,Id,label,Rk,Age,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%
Gord Murphy,D,murphgo01,0,513,33.0,33.333333333333336,1.3333333333333333,7.666666666666667,9.0,-11.666666666666666,21.0,0.9,0.6666666666666666,0.6666666666666666,0.0,0.0,3.6666666666666665,3.0,1.0,42.666666666666664,2.733333333333333
Zbynek Michalek,D,michazb01,0,514,21.0,22.0,1.0,1.0,2.0,-7.0,4.0,0.2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,5.9
Larry Murphy*,D,murphla01,1,515,38.5,69.0,6.0,24.5,30.5,-1.0,28.5,5.0,2.5,3.5,0.0,0.5,16.5,8.0,0.0,113.5,4.65
Branislav Mezei,D,mezeibr01,0,515,21.5,30.5,0.75,3.25,4.0,-2.25,38.75,0.875,0.75,0.0,0.0,0.25,3.0,0.0,0.25,17.25,5.85
Steve Montador,D,montast01,0,519,23.0,29.0,1.0,1.6666666666666667,2.6666666666666665,-4.0,63.333333333333336,0.5666666666666668,1.0,0.0,0.0,0.3333333333333333,1.3333333333333333,0.3333333333333333,0.0,35.0,4.933333333333334
Rumun Ndur,D,ndurru01,0,526,24.0,27.0,1.0,0.0,1.0,-17.0,71.0,-0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,16.7
Stan Neckar,D,neckast01,0,527,26.0,56.6,1.2,4.8,6.0,-4.8,34.8,1.6400000000000001,1.0,0.0,0.2,0.4,4.2,0.4,0.2,27.2,4.7
Scott Niedermayer*,D,niedesc01,1,533,28.0,73.2,9.8,30.0,39.8,17.6,41.2,8.78,6.6,3.2,0.0,3.4,19.6,9.8,0.6,130.8,7.4
Shaone Morrisonn,D,morrish01,0,535,20.5,22.0,0.5,3.5,4.0,5.0,9.0,1.2,0.5,0.0,0.0,0.0,3.5,0.0,0.0,9.0,3.55
Janne Niinimaa,D,niinija01,1,537,26.0,80.4,7.8,29.2,37.0,7.2,80.6,7.220000000000001,3.8,3.6,0.4,1.0,14.6,13.6,1.0,114.4,6.859999999999999
Mattias Norström,D,norstma01,0,541,30.0,79.8,0.8,11.8,12.6,5.4,51.4,3.62,0.8,0.0,0.0,0.0,11.0,0.4,0.4,58.2,1.5799999999999998
Jeff Norton,D,nortoje01,0,542,35.0,45.333333333333336,0.6666666666666666,12.0,12.666666666666666,1.6666666666666667,29.0,2.2333333333333334,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,10.333333333333334,1.3333333333333333,0.3333333333333333,27.333333333333332,3.033333333333333
Teppo Numminen,D,nummite01,1,544,33.0,73.4,7.0,26.6,33.6,7.6,24.0,6.62,5.2,1.8,0.0,2.2,10.8,14.6,1.2,108.6,6.24
Sean O'Donnell,D,odonnse01,1,546,30.0,78.4,2.2,14.4,16.6,9.8,110.0,4.2,1.8,0.4,0.0,1.2,11.2,1.8,1.4,72.6,3.12
Lyle Odelein,D,odelely01,0,550,33.0,76.2,3.6,13.6,17.2,-10.6,100.8,3.3,2.8,0.8,0.0,0.2,9.4,3.8,0.4,84.8,4.4799999999999995
Mattias Öhlund,D,ohlunma01,1,553,25.0,65.8,7.6,21.8,29.4,4.2,48.2,5.5600000000000005,4.6,2.4,0.6,2.2,10.6,10.4,0.8,124.2,6.0600000000000005
Fredrik Olausson,D,olausfr01,1,554,34.666666666666664,53.666666666666664,6.333333333333333,12.666666666666666,19.0,-1.3333333333333333,24.0,3.6666666666666665,2.6666666666666665,3.3333333333333335,0.3333333333333333,1.0,6.666666666666667,6.0,0.0,73.0,7.033333333333334
Sandis Ozolinsh,D,ozolisa01,1,559,29.0,71.0,11.8,29.8,41.6,-5.6,51.0,7.42,7.4,4.0,0.4,1.8,16.8,12.8,0.2,144.4,8.28
Antti-Jussi Niemi,D,niemian01,0,559,23.5,14.5,0.5,0.5,1.0,-3.5,11.0,0.2,0.5,0.0,0.0,0.0,0.5,0.0,0.0,9.0,5.6
Brad Norton,D,nortobr01,0,562,27.0,37.0,1.0,2.3333333333333335,3.3333333333333335,-2.0,78.66666666666667,0.6666666666666666,1.0,0.0,0.0,0.0,2.3333333333333335,0.0,0.0,13.666666666666666,5.266666666666667
James Patrick,D,patrija01,0,564,38.0,60.0,4.4,8.8,13.2,5.6,17.6,3.6799999999999997,3.6,0.8,0.0,1.0,6.0,2.8,0.0,48.0,9.459999999999999
Petteri Nummelin,D,nummepe01,0,569,28.0,61.0,4.0,12.0,16.0,-11.0,10.0,2.6,2.0,2.0,0.0,0.0,4.0,8.0,0.0,99.0,4.0
Ricard Persson,D,perssri01,0,571,31.0,36.0,1.0,7.666666666666667,8.666666666666666,3.0,38.333333333333336,1.7333333333333334,1.0,0.0,0.0,0.3333333333333333,6.0,1.3333333333333333,0.3333333333333333,36.0,2.6666666666666665
Chris Phillips,D,phillch02,1,574,23.0,72.2,4.6,14.8,19.4,9.4,43.2,4.5,3.6,1.0,0.0,0.8,10.8,3.8,0.2,93.2,4.84
Rich Pilon,D,pilonri01,0,576,32.0,43.666666666666664,0.6666666666666666,5.666666666666667,6.333333333333333,-1.6666666666666667,84.66666666666667,1.0666666666666667,0.6666666666666666,0.0,0.0,0.0,5.666666666666667,0.0,0.0,14.333333333333334,2.766666666666667
Lance Pitlick,D,pitlila01,0,577,33.0,55.0,1.6666666666666667,2.6666666666666665,4.333333333333333,-4.0,32.666666666666664,1.0666666666666667,1.6666666666666667,0.0,0.0,0.3333333333333333,2.6666666666666665,0.0,0.0,21.666666666666668,7.466666666666666
Peter Popovic,D,popovpe01,0,583,31.5,57.0,1.0,5.5,6.5,-6.5,39.0,1.15,1.0,0.0,0.0,0.0,5.0,0.5,0.0,28.5,3.5999999999999996
Brooks Orpik,D,orpikbr01,0,584,22.5,42.5,0.5,4.5,5.0,-20.5,64.5,-0.4,0.5,0.0,0.0,0.0,2.5,0.5,1.5,29.0,0.9
Tom Poti,D,potito01,1,585,24.0,74.0,8.8,24.0,32.8,-2.6,54.8,5.779999999999999,5.2,3.4,0.2,2.4,12.2,11.0,0.8,133.4,6.4
Nolan Pratt,D,prattno01,0,587,26.0,56.2,1.2,3.2,4.4,-3.8,51.6,1.44,1.2,0.0,0.0,0.4,3.0,0.0,0.2,36.8,3.1399999999999997
Chris Pronger*,D,prongch01,1,592,27.0,58.6,8.8,34.0,42.8,18.6,77.0,9.080000000000002,4.0,4.6,0.2,1.8,14.6,17.8,1.6,146.2,6.659999999999999
Dale Purinton,D,purinda01,0,596,25.0,36.2,0.8,3.2,4.0,-0.6,115.6,0.6799999999999999,0.8,0.0,0.0,0.0,3.2,0.0,0.0,21.2,1.8399999999999999
Jamie Pushor,D,pushoja01,0,597,28.0,60.6,1.2,5.4,6.6,-7.8,61.8,1.7,1.0,0.0,0.2,0.0,5.0,0.0,0.4,43.0,2.06
Deron Quint,D,quintde01,0,598,25.0,57.6,5.8,11.6,17.4,-17.2,20.8,2.58,3.8,2.0,0.0,0.4,5.8,5.8,0.0,113.6,5.38
Stephane Quintal,D,quintst01,0,599,33.0,72.4,3.4,10.4,13.8,-4.0,75.2,3.1,3.2,0.2,0.0,0.4,9.2,1.0,0.2,91.0,4.0600000000000005
Karel Rachunek,D,rachuka01,0,600,22.0,51.6,2.4,17.8,20.2,11.0,29.8,4.1,0.8,1.6,0.0,0.6,10.2,7.2,0.4,73.0,2.9400000000000004
Brian Rafalski,D,rafalbr01,1,601,28.0,75.4,6.0,35.4,41.4,19.2,22.0,8.36,3.4,2.6,0.0,1.4,21.4,13.8,0.2,140.6,4.42
Marcus Ragnarsson,D,ragnama01,1,602,30.0,67.8,4.2,12.4,16.6,7.6,49.2,4.4,3.0,1.2,0.0,1.0,8.0,3.4,1.0,72.6,5.76
Karel Pilar,D,pilarka01,0,602,25.0,30.0,2.0,8.0,10.0,-0.6666666666666666,14.0,1.6666666666666667,1.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,5.0,3.0,0.0,42.666666666666664,6.466666666666666
Ales Pisa,D,pisaal01,0,605,25.5,26.5,0.5,1.5,2.0,6.0,13.0,1.0,0.0,0.5,0.0,0.0,1.5,0.0,0.0,20.0,1.35
Mike Rathje,D,rathjmi01,1,605,27.0,72.2,3.2,15.2,18.4,5.4,44.2,4.46,1.6,1.4,0.2,0.2,9.0,5.4,0.8,88.6,3.9800000000000004
Steve Poapst,D,poapsst01,0,608,33.5,55.0,1.75,5.75,7.5,1.75,29.5,2.25,1.75,0.0,0.0,0.25,5.0,0.25,0.5,44.75,4.3
Wade Redden,D,reddewa01,1,609,24.0,79.0,11.2,29.8,41.0,17.4,56.2,8.66,5.6,5.4,0.2,1.8,15.8,13.8,0.2,161.4,6.88
Joe Reekie,D,reekijo01,0,610,35.0,62.666666666666664,1.3333333333333333,7.333333333333333,8.666666666666666,10.0,65.33333333333333,2.9000000000000004,1.3333333333333333,0.0,0.0,0.3333333333333333,7.0,0.3333333333333333,0.0,41.333333333333336,3.1666666666666665
Robyn Regehr,D,regehro01,0,611,21.0,72.6,2.4,8.4,10.8,-5.6,74.0,2.88,1.6,0.8,0.0,0.2,5.4,2.4,0.6,84.6,3.12
Todd Reirden,D,reirdto01,0,614,29.75,41.5,2.25,8.0,10.25,-3.25,40.25,1.825,1.75,0.5,0.0,0.25,5.75,2.0,0.25,57.25,3.025
Brian Pothier,D,pothibr01,0,614,24.5,26.25,1.75,4.0,5.75,0.5,13.5,1.25,1.25,0.5,0.0,0.75,3.25,0.75,0.0,41.5,5.3
Joni Pitkänen,D,pitkajo01,1,618,20.0,71.0,8.0,19.0,27.0,15.0,44.0,6.2,3.0,5.0,0.0,2.0,7.0,12.0,0.0,133.0,6.0
Luke Richardson,D,richalu01,0,619,32.0,74.8,1.2,7.4,8.6,5.6,98.8,3.2399999999999998,1.0,0.0,0.2,0.4,6.6,0.0,0.8,56.0,2.2199999999999998
