Player,Pos,Id,label,Rk,Age,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%
Tyler Kennedy,C,kennety01,0,388,26.0,58.2,9.6,14.4,24.0,-1.4,25.8,2.3,8.0,1.6,0.0,1.4,11.8,2.6,0.0,150.2,6.2
Ryan Kesler,C,keslery01,1,389,28.0,66.8,22.4,22.6,45.0,2.0,58.0,5.24,13.4,7.8,1.2,3.6,13.4,8.4,0.8,192.4,11.42
Phil Kessel,RW,kesseph01,1,390,25.0,75.2,30.2,37.6,67.8,-14.4,23.8,7.840000000000001,21.2,8.8,0.2,5.2,24.0,13.6,0.0,273.2,11.14
Dwight King,LW,kingdw01,0,393,23.0,47.6,7.4,8.6,16.0,2.2,12.4,1.6800000000000002,7.0,0.0,0.4,1.0,7.6,0.8,0.2,68.6,8.459999999999999
Alex Killorn,C,killoal01,1,393,24.0,63.666666666666664,13.0,19.666666666666668,32.666666666666664,3.3333333333333335,37.666666666666664,3.1999999999999997,11.0,1.6666666666666667,0.3333333333333333,3.0,16.666666666666668,3.0,0.0,128.33333333333334,9.933333333333334
Rob Klinkhammer,C,klinkro01,0,398,26.0,35.8,4.2,4.2,8.4,2.0,11.6,0.8,3.8,0.4,0.0,0.4,4.2,0.0,0.0,45.6,6.639999999999999
Josh Jooris,RW,joorijo01,1,398,24.0,60.0,12.0,12.0,24.0,1.0,16.0,2.5,8.0,4.0,0.0,4.0,11.0,1.0,0.0,89.0,13.5
Mike Knuble,RW,knublmi01,0,399,39.0,59.666666666666664,11.333333333333334,10.666666666666666,22.0,-3.0,29.333333333333332,2.0,8.333333333333334,2.6666666666666665,0.3333333333333333,0.6666666666666666,7.0,3.3333333333333335,0.3333333333333333,108.33333333333333,10.433333333333334
Zack Kassian,RW,kassiza01,0,400,22.5,49.5,8.75,7.75,16.5,-4.5,76.75,1.65,7.75,1.0,0.0,1.5,7.25,0.5,0.0,62.25,13.825
Chuck Kobasew,RW,kobasch01,0,400,29.5,47.75,5.75,4.5,10.25,-2.25,26.5,0.8,5.5,0.0,0.25,1.5,4.25,0.25,0.0,54.75,10.0
Mikko Koivu,C,koivumi01,1,402,29.0,63.8,13.0,36.0,49.0,3.6,33.2,5.02,9.6,3.0,0.4,3.2,21.4,13.6,1.0,154.6,8.440000000000001
Leo Komarov,C,komarle01,0,403,27.0,52.0,6.0,11.5,17.5,-0.5,18.0,1.3499999999999999,5.5,0.0,0.5,2.0,10.0,0.5,1.0,67.5,8.65
Saku Koivu,C,koivusa01,1,403,37.5,65.25,11.25,23.5,34.75,1.5,37.5,3.125,9.0,2.0,0.25,1.25,17.5,5.25,0.75,86.75,13.2
Tomas Jurco,RW,jurcoto01,0,404,21.5,49.5,5.5,11.0,16.5,3.0,14.0,1.6,4.0,1.5,0.0,0.0,10.0,1.0,0.0,84.5,6.85
Zenon Konopka,C,konopze01,0,406,31.5,58.25,1.5,2.75,4.25,-7.75,176.25,-0.575,1.25,0.25,0.0,0.25,2.75,0.0,0.0,32.25,4.3
Tomas Kopecky,RW,kopecto01,0,407,30.0,64.2,9.2,15.0,24.2,-9.6,33.2,1.64,7.0,1.8,0.4,1.0,10.8,4.2,0.0,122.8,7.56
Anze Kopitar,C,kopitan01,1,408,25.0,73.0,21.0,44.0,65.0,16.6,18.0,7.9799999999999995,14.4,6.0,0.6,4.4,28.2,15.4,0.4,179.0,11.64
Melker Karlsson,C,karlsme01,0,409,24.0,53.0,13.0,11.0,24.0,-3.0,20.0,2.6,12.0,1.0,0.0,2.0,11.0,0.0,0.0,100.0,13.0
Lauri Korpikoski,LW,korpila01,1,409,26.0,66.0,11.4,15.4,26.8,-3.4,16.4,2.2399999999999998,9.0,1.4,1.0,1.6,12.6,1.6,1.2,104.6,10.559999999999999
William Karlsson,C,karlswi01,0,410,22.0,21.0,3.0,2.0,5.0,3.0,0.0,0.6,3.0,0.0,0.0,1.0,1.0,1.0,0.0,29.0,10.3
Andrei Kostitsyn,LW,kostian01,1,410,25.5,76.5,18.0,22.5,40.5,1.0,31.0,4.65,13.0,5.0,0.0,5.5,19.0,3.5,0.0,159.0,11.649999999999999
Sergei Kostitsyn,LW,kostise01,1,411,24.0,66.0,14.333333333333334,21.666666666666668,36.0,4.333333333333333,21.666666666666668,3.9333333333333336,11.666666666666666,2.0,0.6666666666666666,1.6666666666666667,15.333333333333334,6.333333333333333,0.0,77.33333333333333,16.433333333333334
Tom Kostopoulos,RW,kostoto01,0,412,33.0,57.333333333333336,4.333333333333333,6.0,10.333333333333334,-6.333333333333333,49.666666666666664,0.19999999999999998,3.0,1.0,0.3333333333333333,0.3333333333333333,5.666666666666667,0.3333333333333333,0.0,61.0,7.3999999999999995
Ales Kotalik,RW,kotalal01,0,413,32.0,26.0,4.0,2.0,6.0,-7.0,8.0,0.2,3.0,1.0,0.0,2.0,1.0,1.0,0.0,62.0,6.5
Ronalds Kenins,LW,keninro01,0,414,23.0,30.0,4.0,8.0,12.0,-2.0,8.0,1.1,4.0,0.0,0.0,0.0,8.0,0.0,0.0,38.0,10.5
Ilya Kovalchuk,LW,kovalil01,1,414,28.0,65.0,26.333333333333332,31.666666666666668,58.0,-13.666666666666666,26.333333333333332,6.866666666666667,17.0,7.0,2.3333333333333335,6.333333333333333,16.666666666666668,14.333333333333334,0.6666666666666666,226.0,11.166666666666666
Chris Kreider,LW,kreidch01,1,415,22.0,56.333333333333336,13.333333333333334,15.333333333333334,28.666666666666668,12.333333333333334,55.333333333333336,3.8666666666666667,9.0,4.333333333333333,0.0,1.6666666666666667,13.0,2.3333333333333335,0.0,111.66666666666667,11.566666666666668
Alex Kovalev,RW,kovalal01,0,415,38.0,44.0,9.0,10.5,19.5,-3.5,25.0,1.9,5.5,3.5,0.0,2.0,8.0,2.5,0.0,86.0,10.05
David Krejci,C,krejcda01,1,416,26.0,65.6,14.4,37.0,51.4,13.0,26.8,5.64,12.8,1.4,0.2,3.2,27.0,10.0,0.0,126.8,11.24
Marcus Kruger,C,krugema01,0,418,22.0,57.4,5.6,11.2,16.8,2.2,23.6,1.1,5.6,0.0,0.0,1.2,10.0,1.0,0.2,73.6,6.4
Krys Kolanos,C,kolankr01,0,419,30.0,13.0,0.0,1.0,1.0,-1.0,2.0,-0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,29.0,0.0
Nikolai Kulemin,LW,kulemni01,1,423,26.0,70.4,13.6,18.2,31.8,1.4,19.8,3.1,11.6,1.2,0.8,2.0,15.4,2.4,0.4,109.6,11.52
Chris Kunitz,LW,kunitch01,1,425,33.0,69.6,24.6,29.2,53.8,18.2,51.4,7.26,15.4,8.8,0.4,4.6,21.2,7.8,0.2,172.8,14.84
Andrew Ladd,LW,laddan01,1,427,27.0,74.0,24.4,29.8,54.2,1.8,50.8,6.28,18.2,5.8,0.4,4.0,21.4,7.6,0.8,198.8,12.66
Brooks Laich,C,laichbr01,1,428,29.0,58.0,9.6,16.0,25.6,-0.2,25.2,2.2199999999999998,7.0,2.0,0.6,2.2,11.8,3.4,0.8,117.8,8.68
Jamie Langenbrunner,RW,langeja01,0,429,36.0,48.0,5.0,14.0,19.0,-3.3333333333333335,25.666666666666668,1.4000000000000001,4.666666666666667,0.3333333333333333,0.0,2.0,12.0,2.0,0.0,95.0,3.5333333333333337
Daymond Langkow,C,langkda01,0,430,34.5,38.5,5.5,10.0,15.5,-0.5,7.0,1.25,5.0,0.5,0.0,0.5,8.5,1.0,0.5,59.0,4.9
Maxim Lapierre,C,lapiema01,0,431,27.0,71.8,6.0,7.4,13.4,-8.2,73.0,0.4,6.0,0.0,0.0,0.4,7.4,0.0,0.0,90.0,6.92
Chad Larose,RW,larosch01,0,432,29.0,61.333333333333336,12.333333333333334,10.0,22.333333333333332,-14.666666666666666,45.333333333333336,1.5999999999999999,10.0,1.6666666666666667,0.6666666666666666,1.6666666666666667,8.0,1.6666666666666667,0.3333333333333333,146.66666666666666,7.233333333333333
Brandon Kozun,RW,kozunbr01,0,435,24.0,20.0,2.0,2.0,4.0,-3.0,6.0,0.3,2.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,25.0
Guillaume Latendresse,RW,latengu01,0,435,24.0,18.0,4.666666666666667,3.6666666666666665,8.333333333333334,2.0,12.0,1.1333333333333335,3.6666666666666665,1.0,0.0,0.6666666666666666,3.3333333333333335,0.3333333333333333,0.0,35.666666666666664,13.966666666666667
Johan Larsson,LW,larssjo02,0,436,21.0,22.666666666666668,2.0,4.666666666666667,6.666666666666667,0.0,10.333333333333334,0.5333333333333333,1.6666666666666667,0.3333333333333333,0.0,0.0,3.6666666666666665,1.0,0.0,24.333333333333332,4.0
Vincent Lecavalier,C,lecavvi01,1,438,32.0,58.8,17.0,21.4,38.4,-7.0,40.4,4.1,10.8,6.2,0.0,2.6,14.6,6.8,0.0,142.6,11.72
Scott Laughton,C,laughsc01,0,439,19.0,18.0,1.0,2.0,3.0,-0.5,8.5,0.05,1.0,0.0,0.0,0.0,1.5,0.5,0.0,30.5,1.95
David Legwand,C,legwada01,1,441,32.0,70.6,14.2,25.2,39.4,-1.2,32.6,3.84,10.0,3.8,0.4,2.2,16.8,7.8,0.6,117.0,12.32
